**************************************************
START LOG TRACE: 14/10/2021 06:28:37.783
**************************************************

14/10/2021 06:28:37.799: Start update interface for slab 148109.

14/10/2021 06:28:38.485: 
|Order Code                                        |Piece Code                                        |Waste|Small|Last |Pick X  |Pick Y  |Pick R  |Pick L  |Pick W  |Pos X   |Pos Y   |Rot     |Len     |Width   |Thick   |Slab Code         |Unique ID                                         |
|                                       OFF00090787|                                   _SP00019867_357|    0|    0|    0|-2700.19| 2221.02|   90.00|  499.80|  174.93|-2700.19| 2221.02|  270.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611693|
|                                       OFF00090787|                                   _SP00019867_356|    0|    0|    0|-2879.19| 2221.02|   90.00|  499.80|  174.93|-2879.19| 2221.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611694|
|                                       OFF00090787|                                   _SP00019867_355|    0|    0|    0|-3058.19| 2221.02|   90.00|  499.80|  174.93|-3058.19| 2221.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611695|
|                                       OFF00090787|                                   _SP00019867_353|    0|    0|    0| -552.19| 1685.02|   90.00|  499.80|  174.93| -552.19| 1685.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611696|
|                                       OFF00090787|                                   _SP00019867_352|    0|    0|    0| -731.19| 1685.02|   90.00|  499.80|  174.93| -731.19| 1685.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611697|
|                                       OFF00090787|                                   _SP00019867_351|    0|    0|    0| -910.19| 1685.02|   90.00|  499.80|  174.93| -910.19| 1685.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611698|
|                                       OFF00090787|                                   _SP00019867_350|    0|    0|    0|-1089.19| 1685.02|   90.00|  499.80|  174.93|-1089.19| 1685.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611699|
|                                       OFF00090787|                                   _SP00019867_349|    0|    0|    0|-1268.19| 1685.02|   90.00|  499.80|  174.93|-1268.19| 1685.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611700|
|                                       OFF00090787|                                   _SP00019867_348|    0|    0|    0|-1447.19| 1685.02|   90.00|  499.80|  174.93|-1447.19| 1685.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611701|
|                                       OFF00090787|                                   _SP00019867_347|    0|    0|    0|-1626.19| 1685.02|   90.00|  499.80|  174.93|-1626.19| 1685.02|   90.00|  532.00|  175.00|   15.00|SLAB00000000041918|                                            611702|
